ENTIDAD FEDERATIVA;NOMBRE PROGRAMA EDUCATIVO;Matrícula Mujeres;Matrícula Hombres;Matrícula Total;Nuevo Ingreso Mujeres;Nuevo Ingreso Hombres;Nuevo Ingreso Total;Egresados Mujeres;Egresados Hombres;Egresados Total;Titulados Mujeres;Titulados Hombres;Titulados Total
AGUASCALIENTES;LICENCIATURA EN CONTABILIDAD Y DERECHO FISCAL;0;0;0;0;0;0;4;2;6;0;0;0
AGUASCALIENTES;LICENCIATURA EN CONTABILIDAD Y FINANZAS;75;67;142;32;37;69;5;1;6;0;0;0
AGUASCALIENTES;LICENCIATURA EN CONTADOR PÚBLICO;70;27;97;0;0;0;30;13;43;0;0;0
AGUASCALIENTES;LICENCIATURA EN CONTADURÍA;37;32;69;7;5;12;5;4;9;4;4;8
AGUASCALIENTES;LICENCIATURA EN CONTADURÍA PÚBLICA;187;119;306;83;55;138;17;8;25;12;3;15
AGUASCALIENTES;LICENCIATURA EN CONTADURÍA PÚBLICA E IMPUESTOS;65;21;86;9;5;14;3;2;5;1;1;2
AGUASCALIENTES;LICENCIATURA EN CONTADURÍA Y FINANZAS;98;55;153;57;21;78;15;12;27;0;1;1
AGUASCALIENTES;LICENCIATURA EN CONTADURÍA Y SISTEMAS FINANCIEROS;69;57;126;25;17;42;8;10;18;6;4;10
AGUASCALIENTES;LICENCIATURA EN CRIMINALÍSTICA;117;86;203;78;54;132;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN CRIMINALÍSTICA E INVESTIGACIÓN CRIMINAL;23;22;45;23;22;45;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN CRIMINOLOGÍA;280;207;487;102;73;175;60;41;101;55;35;90
AGUASCALIENTES;LICENCIATURA EN CULTURA FÍSICA Y DEL DEPORTE;54;118;172;13;32;45;6;22;28;9;25;34
AGUASCALIENTES;LICENCIATURA EN DANZA CLÁSICA EN LA MODALIDAD DE INTERPRETE;66;6;72;12;0;12;4;0;4;4;0;4
AGUASCALIENTES;LICENCIATURA EN DANZA CONTEMPORÁNEA EN LA MODALIDAD DE INTERPRETE;32;10;42;11;2;13;4;1;5;0;0;0
AGUASCALIENTES;LICENCIATURA EN DERECHO;2023;1722;3745;724;629;1353;339;307;646;212;165;377
AGUASCALIENTES;LICENCIATURA EN DESARROLLO E INNOVACIÓN EMPRESARIAL;20;2;22;0;0;0;16;7;23;0;0;0
AGUASCALIENTES;LICENCIATURA EN DESARROLLO ORGANIZACIONAL;6;3;9;6;3;9;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN DIRECCIÓN DE NEGOCIOS GASTRONÓMICOS;47;25;72;13;9;22;10;2;12;7;3;10
AGUASCALIENTES;LICENCIATURA EN DIRECCIÓN EN VENTAS;0;0;0;0;0;0;1;2;3;0;0;0
AGUASCALIENTES;LICENCIATURA EN DISEÑO ARQUITECTÓNICO Y DE INTERIORES;48;68;116;27;21;48;0;0;0;5;5;10
AGUASCALIENTES;LICENCIATURA EN DISEÑO DE ANIMACIÓN DIGITAL;35;54;89;18;15;33;10;18;28;0;0;0
AGUASCALIENTES;LICENCIATURA EN DISEÑO DE INTERIORES;138;28;166;36;9;45;17;1;18;17;1;18
AGUASCALIENTES;LICENCIATURA EN DISEÑO DE MODAS E INDUMENTARIA Y TEXTILES;270;33;303;27;8;35;45;7;52;53;7;60
AGUASCALIENTES;LICENCIATURA EN DISEÑO E INDUSTRIA DEL VESTIDO Y DE LA MODA;27;5;32;27;5;32;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN DISEÑO GRÁFICO;167;116;283;20;17;37;38;19;57;42;16;58
AGUASCALIENTES;LICENCIATURA EN DISEÑO GRÁFICO DIGITAL;31;42;73;13;19;32;0;1;1;0;1;1
AGUASCALIENTES;LICENCIATURA EN DISEÑO GRÁFICO EN MEDIOS DIGITALES;23;13;36;11;5;16;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN DISEÑO GRÁFICO Y MULTIMEDIA;1;0;1;0;0;0;0;0;0;0;0;0
